Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
152	555.9162	551.9828	3.93339	12.10095	0.01133597	-0.01649238	0.01402848	0.973312	0.8621118	1	0.01783404	61.14582	0.2128417	0.01401849	-8.380323
153	556.1296	552.077	4.05255	8.51834	0.01353957	-0.02665268	0.01343891	0.9868051	0.8844912	1	0.01907653	51.19419	0.2330678	0.01343657	-19.45029
154	556.6252	551.8981	4.727099	7.44814	0.01448477	-0.03881201	0.01174919	0.9902458	0.8920202	1	0.01844908	47.85351	0.03544632	0.01174807	-7.577511
155	555.4747	551.3554	4.11927	6.488876	0.01552196	-0.03881201	0.01173426	0.9929982	0.8992309	1	0.01908605	44.6559	-0.4409544	0.01173368	56.99356
156	556.206	551.7549	4.451104	7.295667	0.01463595	-0.03789617	0.01164069	0.9907059	0.8931346	1	0.01845928	47.35923	0.2683363	0.01163969	-32.68094
157	554.2605	550.9073	3.353193	7.479511	0.01445424	-0.0581137	0.01209787	0.9901501	0.8917923	1	0.0187011	47.9546	-0.6190758	0.0120967	56.33214
158	556.966	552.7089	4.257108	10.72686	0.01205197	-0.03506048	0.01354954	0.9787715	0.8702696	1	0.018072	57.5132	-0.08948126	0.01354344	2.474091
159	556.75	552.4964	4.253583	10.70735	0.01206309	-0.02753479	0.01318868	0.9788468	0.8703888	1	0.01783795	57.46017	-0.2049386	0.01318278	8.181697
160	556.4565	552.0836	4.372896	11.66081	0.01155182	-0.0327531	0.01317411	0.9750914	0.8646759	1	0.01744621	60.00326	-0.01818117	0.01316594	-0.6031963
161	556.055	552.3344	3.720604	9.646886	0.01271655	-0.0423616	0.01252759	0.9828343	0.8770303	1	0.0178498	54.50751	-0.5003663	0.0125239	26.18106
