Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	theta	V	Yr
146	593.7475	593.9574	-0.2099322	22.87227	0.008126539	-0.03361589	0.01530661	0.9255515	0.808585	1	0.01577275	85.29426	-1.07872	0.01522177	12.95923
147	597.5758	593.9242	3.651581	21.82465	0.008334949	-0.03398494	0.01429475	0.9303496	0.8132415	1	0.01543671	83.16154	0.3204864	0.01422541	-4.768804
148	591.1613	587.4419	3.719405	15.16185	0.01009744	-0.1000746	0.01337599	0.9603493	0.8453319	1	0.01643553	68.64583	-0.391486	0.01335496	6.957977
149	598.0655	593.8841	4.181345	17.08836	0.009488728	-0.04023853	0.01390999	0.9518325	0.8355331	1	0.01624734	73.04954	-0.03984775	0.01387771	-0.04796079
150	597.1174	593.2629	3.854432	14.56976	0.01030727	-0.04641041	0.01268951	0.9629216	0.8484507	1	0.0161737	67.24835	0.3926911	0.01267207	-11.44982
151	591.4506	592.1364	-0.6858776	18.3471	0.009141457	-0.01418541	0.01234398	0.9461777	0.8293839	1	0.01502278	75.82458	1.176238	0.01230822	-20.94141
152	595.6065	591.6962	3.910271	13.57555	0.0106888	-0.02062592	0.01408279	0.9671786	0.8538165	1	0.01735097	64.848	-0.2740843	0.01406762	7.448263
153	596.6962	592.1136	4.582581	11.71997	0.01152213	-0.01611696	0.01235962	0.9748538	0.8643287	1	0.01687656	60.15792	-0.06112635	0.0123518	1.728781
154	597.3594	593.3822	3.977143	15.00841	0.01015068	-0.008568372	0.01286012	0.9610183	0.846135	1	0.01615791	68.28582	0.3342397	0.01284058	-8.459839
155	596.2045	592.4081	3.796478	16.98723	0.009518203	-0.002400042	0.01485132	0.9522842	0.8360353	1	0.01681416	72.82332	0.1565324	0.01481751	-3.174283
156	596.9843	593.2772	3.707128	19.18275	0.008929023	-0.01114182	0.01522523	0.9423959	0.8253985	1	0.01648917	77.62856	0.1581415	0.01517471	-2.780597
157	596.732	592.575	4.157004	24.69943	0.007793013	-0.02342537	0.01408019	0.9171759	0.8006572	1	0.01481399	88.9447	-0.04952862	0.0139836	0.2656364
158	597.0294	593.574	3.455347	15.84282	0.009870209	-0.03385931	0.01394596	0.9573621	0.8418101	1	0.01659214	70.22619	0.4162351	0.01392061	-10.13997
