Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
109	427.4461	424.0507	3.395423	23.60376	0.007988727	-0.05342316	0.0164414	0.9221986	0.8053829	1	0.01620777	86.76566	0.01634188	-0.6866611
110	427.6623	424.0655	3.596808	40.37059	0.005866887	-0.05525256	0.01597729	0.8466988	0.739649	1	0.01369211	118.1456	0.0156018	-0.3604182
111	428.8384	425.9657	2.872696	45.94306	0.00541011	-0.02607878	0.01892477	0.8225988	0.7199718	1	0.01430979	128.1207	0.01832918	-0.1470046
112	427.5849	425.2831	2.301798	57.60958	0.004651595	0.01143501	0.02142669	0.7739236	0.680913	1	0.01411866	149.0128	0.02033156	0.05058029
113	427.4207	425.2949	2.125828	51.73508	0.005006004	-0.002419813	0.02199405	0.7981376	0.7002656	1	0.01483929	138.4632	0.02109782	-0.01198744
114	427.6544	425.4731	2.18125	54.36274	0.004841429	0.001426127	0.02185194	0.7872341	0.6915373	1	0.01454611	143.17	0.02086272	0.006702796
115	425.4388	424.2991	1.139757	73.9704	0.003866118	0.003097084	0.02728644	0.7093991	0.6295728	1	0.01452533	179.2876	0.02498213	0.01065752
116	425.8164	423.7308	2.085651	51.12191	0.005045957	0.06305729	0.02137246	0.8006992	0.7023202	1	0.01468635	137.3669	0.02052353	0.3163925
117	426.6075	424.8912	1.716312	71.00767	0.003991168	-0.02891472	0.02470774	0.720786	0.638636	1	0.0140437	173.6703	0.02278151	-0.1035575
118	428.7629	425.8584	2.904491	45.85249	0.005416947	-0.03782549	0.0187993	0.8229861	0.7202856	1	0.01427129	127.959	0.01821024	-0.2136865
119	428.7337	425.6011	3.132678	40.06616	0.005894202	0.01276268	0.0175947	0.8480314	0.7407475	1	0.01440185	117.5981	0.01718836	0.08398234
120	428.3424	425.2919	3.050469	34.66884	0.006429354	-0.06594567	0.0178582	0.8719255	0.7606987	1	0.01515366	107.8098	0.01756527	-0.5149007
121	428.9743	425.9112	3.063079	42.58753	0.005675821	-0.005131569	0.01803699	0.8370441	0.7317262	1	0.01430907	122.1228	0.01755802	-0.03149055
122	427.1546	423.4894	3.665223	24.40355	0.007844664	0.02897448	0.01517368	0.9185321	0.8019253	1	0.01542935	88.35907	0.01507297	0.3556554
123	427.1956	423.4752	3.72044	40.24886	0.005877777	-0.004696405	0.01549195	0.8472314	0.7400879	1	0.01349505	117.9268	0.01513039	-0.03074196
124	429.4231	425.7199	3.703145	26.08768	0.007561577	-0.04913024	0.01534833	0.9108164	0.7947823	1	0.01523532	91.66702	0.01522625	-0.5508885
