Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
155	586.633	580.9938	5.639236	6.383729	0.01564957	-0.00347764	0.003942467	0.9932781	0.9000522	1	0.01110837	44.29177	0.003942289	-0.5173599
156	586.1253	580.5259	5.599432	5.236392	0.01728184	-0.009438241	0.003809857	0.9960107	0.9094896	1	0.01147531	40.10841	0.003809796	-2.365889
157	586.5171	580.6669	5.850144	10.76712	0.0120291	-0.01314597	0.005443306	0.9786158	0.8700239	1	0.01144361	57.62251	0.005440817	-0.6147515
158	586.959	581.1126	5.84645	8.783196	0.01333245	-0.01418833	0.005177358	0.9859019	0.8826997	1	0.01174963	51.98948	0.005176329	-1.006402
159	587.929	582.1521	5.776927	6.729236	0.01524151	-0.001135148	0.004561887	0.9923416	0.8973777	1	0.01179237	45.4776	0.004561619	-0.1482219
160	585.8645	580.1381	5.726474	5.792553	0.01643025	0.009132636	0.004371981	0.9947626	0.9047995	1	0.01198605	42.18726	0.004371861	1.743732
161	587.0466	581.2604	5.786161	6.284863	0.01577245	-0.01723794	0.004514106	0.993537	0.9008305	1	0.01193302	43.9467	0.004513918	-2.667179
162	586.0148	580.3344	5.680406	5.004926	0.0176773	0.003825969	0.004130262	0.9964844	0.9115141	1	0.01208403	39.21116	0.004130211	1.088285
163	586.3455	580.54	5.805484	10.27951	0.01231477	0.01106654	0.005032911	0.980482	0.8730293	1	0.01113366	56.28584	0.005030994	0.56699
164	587.8	581.9727	5.827352	8.600311	0.01347446	-0.009130288	0.00491268	0.9865276	0.883934	1	0.01150615	51.44156	0.004911788	-0.6777019
165	586.8367	581.0307	5.806069	10.64505	0.01209881	0.002142404	0.00482248	0.979087	0.8707702	1	0.01080243	57.29053	0.004820371	0.1024436
166	584.8708	579.1069	5.763904	6.399462	0.01563028	0.01438234	0.004674262	0.9932365	0.8999289	1	0.01208801	44.34644	0.004674049	2.126471
167	587.788	581.9857	5.802305	7.135292	0.01480011	-0.0009535008	0.004762773	0.9911811	0.8943191	1	0.01187346	46.83391	0.004762402	-0.1081199
168	587.7831	581.9793	5.80387	6.720325	0.01525164	-0.00438114	0.004737989	0.9923663	0.8974458	1	0.01202182	45.4474	0.004737713	-0.5739225
169	585.9425	580.1039	5.838655	8.332761	0.01369046	-0.02446105	0.004921837	0.9874264	0.8857625	1	0.01160881	50.62993	0.004921059	-1.94543
170	584.3087	578.5107	5.797976	5.296712	0.01718305	-0.02439096	0.004577063	0.9958827	0.9089694	1	0.01254176	40.339	0.004576985	-5.924049
171	588.0355	582.237	5.798473	7.375718	0.014556	-0.002880765	0.004701808	0.9904654	0.8925482	1	0.01169953	47.61935	0.00470138	-0.3021369
172	585.2511	579.3936	5.857435	11.20461	0.0117885	-0.02610655	0.00530994	0.9769062	0.8673812	1	0.01118894	58.79861	0.005307108	-1.130459
173	587.8312	582.0212	5.809962	7.115372	0.01482089	-0.004026206	0.004797025	0.9912394	0.8944671	1	0.01192444	46.76826	0.004796657	-0.4595836
174	585.8614	580.0372	5.824127	9.306277	0.01294934	0.005562797	0.005502893	0.9840653	0.879236	1	0.01193807	53.52763	0.005501496	0.3490991
