Iteration	Replicate_ID	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
156	0	587.7318	581.9107	5.821101	8.85573	0.01327733	-0.01097617	0.004815284	0.9856514	0.8822136	1	0.01130788	52.2053	0.004814292	-0.7649616
157	1	587.0493	581.2105	5.83874	7.602988	0.01433588	-0.009900601	0.00510424	0.9897703	0.8908998	1	0.01209742	48.35051	0.005103706	-0.967833
158	0	587.0327	581.2644	5.768306	6.632645	0.01535239	0.006143593	0.004583533	0.9926082	0.8981184	1	0.01186323	45.14915	0.004583282	0.8311416
159	1	585.9928	580.1502	5.842551	7.914119	0.01404992	-0.02290579	0.004992681	0.9887912	0.8886816	1	0.01184456	49.3346	0.004992054	-2.043556
160	0	587.6902	581.8649	5.825253	9.378882	0.01289867	-0.008504005	0.004887643	0.9838051	0.8787626	1	0.0112289	53.73789	0.004886361	-0.525104
161	1	587.4823	581.6489	5.833468	9.315189	0.01294309	-0.003238786	0.005134001	0.9840334	0.8791778	1	0.01152821	53.55347	0.005132692	-0.2028477
162	0	585.7807	579.9286	5.852085	11.81713	0.01147382	-0.02111325	0.005155054	0.9744625	0.8637602	1	0.01087641	60.41119	0.005151692	-0.8267545
163	1	587.9358	582.1405	5.795275	6.928305	0.0150203	-0.01066026	0.004608391	0.9917804	0.8958672	1	0.011766	46.14736	0.00460808	-1.296937
164	0	587.2049	581.4094	5.795433	8.966042	0.01319478	0.006328777	0.004795288	0.9852677	0.881478	1	0.01124925	52.53193	0.004794247	0.4295843
165	1	587.7823	582.0615	5.720798	6.502165	0.01550605	-0.00788019	0.004219758	0.9929626	0.8991276	1	0.01143956	44.70172	0.004219549	-1.119751
166	0	587.9534	582.1583	5.795056	8.387692	0.01364528	-0.00691194	0.004626934	0.9872435	0.8853848	1	0.01123707	50.79757	0.004626181	-0.5418369
167	1	585.9658	580.159	5.806761	5.319059	0.01714688	-0.003097478	0.00480032	0.9958348	0.9087774	1	0.01283047	40.42409	0.004800237	-0.7436641
