species,log10_carL,log10_cheL,log10_cheW,log10_cheD
BUTH_Microbuthus_satyrus,0.3762163046307371,0.6531696162562489,-0.09270974199484072,-0.1419983281826004
BUTH_Microtityus_consuelo,0.4231521489839456,0.6093838634522698,-0.05703290816236332,-0.10476044709931652
BUTH_Microtityus_solegladi,0.4665760180985267,0.6283784446193464,-0.05982190029038187,-0.08592794634810688
BUTH_Neobuthus_awashensis,0.4211173431736198,0.4713016244210783,-0.17827366175690626,-0.14522286046076682
BUTH_Neobuthus_eritreaensis,0.4547745915829132,0.4692298151365992,-0.21154152201739648,-0.18428521855672012
BUTH_Neobuthus_kutcheri,0.47294828016114593,0.5187701201165499,-0.10656699840202608,-0.09118170565292062
BUTH_Odontobuthus_bidentatus,0.9648722086377752,1.1847765782508497,0.6087404323356277,0.6304287499877461
BUTH_Odontobuthus_brevidigitus,0.8751376857709652,1.0889985491558951,0.4994237960035359,0.5017130314628198
BUTH_Odontobuthus_doriae,0.9568884546500772,1.1599279528959847,0.5740783613365734,0.6030683892348631
BUTH_Odontobuthus_tavighiae,0.785329835010767,1.0412311105843148,0.34197356537575607,0.3838051825347135
BUTH_Odontobuthus_tirgari,0.906395965082218,1.149394743968336,0.5450952720303227,0.5636686760382075
BUTH_Olivierus_caucasicus,0.7241985517288838,1.0128372247051722,0.414973347970818,0.4842414742769676
BUTH_Olivierus_elenae,0.9344984512435676,1.1613680022349748,0.5622928644564748,0.568201724066995
BUTH_Olivierus_fuscus,0.857852489690679,1.0884073834781078,0.4474546990286829,0.4589344240226963
BUTH_Olivierus_gorelovi,0.8152393631013182,1.040511543225667,0.4524388834817024,0.4582269742749625
BUTH_Olivierus_intermedius,0.8682918632538998,1.109205514069298,0.4931618885253827,0.576614657555129
BUTH_Olivierus_kaznakovi,0.8432461692598939,1.081669730809618,0.4375608351792661,0.4483278866860039
BUTH_Olivierus_kreuzbergi,0.9196761644477106,1.1562579278316931,0.6305719338503335,0.635804650689416
BUTH_Olivierus_martensii,0.7493110155617505,1.0295312822115923,0.441348602633,0.4135987407668468
BUTH_Orthochirus_afghanus,0.6232492903979004,0.6989700043360189,0.04139268515822508,0.12940928134981644
BUTH_Orthochirus_bicolor,0.6222728968006508,0.774544417136789,0.11838135225376116,0.15427821349440604
BUTH_Orthochirus_fomichevi,0.6653536651210508,0.7779653531145063,0.07036193981696895,0.07900036549564812
BUTH_Orthochirus_glabrifrons,0.46519825713519375,0.5670883196726694,-0.14964986480461398,-0.1936726795685343
BUTH_Orthochirus_innesi,0.5819929059057527,0.6626551858555306,-0.03566687589218288,0
BUTH_Orthochirus_iranus,0.5491487682473488,0.6988831280632251,0.02069634257911254,0.08283797264214388
BUTH_Orthochiroides_vachoni,0.5175293063177959,0.6070401079256079,0.01065789636390565,0.02432824820931013
BUTH_Parabuthus_brevimanus,0.7095646538709879,0.9413305580779154,0.3431990690184323,0.34763971087511975
BUTH_Parabuthus_kajibu,0.8696674800980397,1.0917772668094308,0.4531675209025453,0.4263924343402739
BUTH_Parabuthus_laevifrons,0.896664059886229,1.150137054485224,0.5760022137740282,0.5684394548460951
BUTH_Parabuthus_pallidus,0.8750612633917001,1.021189299069938,0.45699613141983775,0.4465436954729554
BUTH_Parabuthus_transvaalicus,0.8915515091557851,1.1198701124658792,0.506285146550591,0.5355129609777372
BUTH_Physoctonus_debilis,0.5495854346500433,0.8026399243104085,0.16820172754889198,0.097545745426228
BUTH_Physoctonus_striatus,0.4768798458666144,0.7520314413393459,0.1300356939925374,0.06028696560292494
BUTH_Picobuthus_wahibaensis,0.3874080622063679,0.5976785685739869,-0.10712160001867851,-0.13005567245772845
BUTH_Reddyanus_basilicus,0.6127838567197355,0.8481891169913987,0.2787536009528289,0.2041199826559248
BUTH_Reddyanus_ceylonensis,0.5404034021671811,0.7786031698827659,0.26461890263483023,0.19208706940351672
BUTH_Reddyanus_loebli,0.619502331726644,0.8686157515471443,0.21742717479711923,0.1714309807154169
BUTH_Reddyanus_petrzelkai,0.623126156149661,0.8558192691161746,0.24143679180437683,0.19596820858211164
BUTH_Rhopalurus_caribensis,0.7260466245088657,0.9715493115027426,0.414973347970818,0.3798339223448152
BUTH_Rhopalurus_laticauda,0.6900267253839841,0.940467824864298,0.3957074555647695,0.3693864471000529
BUTH_Rhopalurus_ochoai,0.7671955413004783,1.0178740279626346,0.4458622010740011,0.425640733234287
BUTH_Somalicharmus_whitmanae,0.4471580313422192,0.5797835966168101,0.17609125905568124,0.2304489213782739
BUTH_Teruelius_flavopiceus,0.8915227860573465,1.1551660675011357,0.6126546408629314,0.5739926603419025
BUTH_Thaicharmus_mahunkai,0.5377734806962654,0.719192053517357,0.07918124604762482,0.06941257778813394
BUTH_Thaicharmus_sp,0.7380535112165472,0.95545178635034,0.35322012656799284,0.36424975326926173
BUTH_Tityopsis_inexpectata,0.7803557181733004,1.0337016324609074,0.3855685061598373,0.37218216910933344
BUTH_Tityus_atriventer,0.5118833609788743,0.7596678446896304,0.2304489213782739,0.2304489213782739
BUTH_Tityus_bahiensis,0.8609465081074787,1.1042959142279885,0.5349228128285907,0.5349228128285907
BUTH_Tityus_blaseri,0.814814845915453,1.115856286796446,0.515423714856147,0.5010682918402166
BUTH_Tityus_brazilae,0.8582949501468428,1.1665597896443765,0.3835327284604044,0.3568072522844269
BUTH_Tityus_carvalhoi,0.7734663900361822,1.0250580110412315,0.389135215594979,0.37411380316398607
BUTH_Tityus_cerroazul,0.6334684555795865,0.9590413923210936,0.2041199826559248,0.17609125905568124
BUTH_Tityus_charreyroni,0.8000135687831922,1.0614802987734289,0.4164583014853866,0.3969096057381483
BUTH_Tityus_clathratus,0.6329568080831645,0.8677141710254548,0.33421678098823804,0.32053863020867934
BUTH_Tityus_confluens,0.7766327134555954,1.0303481862905386,0.34503407986281176,0.34874886729938276
BUTH_Tityus_crassimanus,0.805479053049451,1.0661298447655223,0.5249964284600713,0.5134708139795147
BUTH_Tityus_curupi,0.6336562789157223,0.8930270021634441,0.12956987921050933,0.21136876697319712
